Timestamp,Terminal,MemberId,Action,Result,Message
2026-06-05T17:32:03.001,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-05T17:34:47.744,MASTER,,INITIALIZE,SUCCESS,Master Terminal initialized hardware blank card. Assign the member ID in the Admin terminal.
2026-06-05T17:34:58.528,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-05T17:35:03.149,ADMIN,0000007B,ACTIVATE,SUCCESS,Card 0000007B activated until 20261231. Phone linked: N/A
2026-06-05T17:35:19.416,ADMIN,0000007B,READ_STATUS,SUCCESS,Card 0000007B | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=NOT_SYNCED
2026-06-05T17:35:34.621,ADMIN,000004D2,ACTIVATE,DENIED,ERROR: Inserted card is bound to 0000007B; not requested member 000004D2
2026-06-05T17:36:39.528,ADMIN,0000007B,DEACTIVATE,SUCCESS,Card 0000007B deactivated in backend policy.
2026-06-05T17:36:45.648,ADMIN,0000007B,ACTIVATE,SUCCESS,Card 0000007B activated until 20261231. Phone linked: N/A
2026-06-05T17:38:30.811,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-05T17:38:36.65,ACCESS,,CHECK_IN_T1,DENIED,ACCESS DENIED: Member ID cannot be empty
2026-06-05T17:38:42.331,ACCESS,0000007B,CHECK_IN_T1,DENIED,ACCESS DENIED: Access terminal cache is not synced. Press Sync Terminals first.
2026-06-05T17:53:51.548,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-05T17:53:56.899,AUTH,,LOGIN_MASTER,SUCCESS,Master login successful
2026-06-05T17:54:02.574,AUTH,,LOGIN_ADMIN,SUCCESS,Admin login successful
2026-06-05T17:54:09.892,ACCESS,,SYNC_TERMINALS,SUCCESS,Terminal cache synced at 2026-06-05T17:54:09.892 | Active cards: 1 | Blocked cards: 0 | Block version: 0
2026-06-05T17:54:16.608,AUTH,,LOGIN_ACCESS,SUCCESS,Access login successful
2026-06-05T18:01:06.469,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:02:53.075,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:02:53.652,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:25.055,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:25.588,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:25.829,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:26.028,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:28.185,ACCESS,0000007B,CHECK_IN_T2,SUCCESS,ACCESS GRANTED: Tier 2 access granted by physical card. DailyCounter=1 TxCounter=1 ReceiptVerified=true Receipt=000100016704049E28A7E5166F5470CDC3688116BA36B92D27088790B6BC0675BF8B998E2224E8B3E414DCC10C9494F36DFC528B1E79CDEA4765BC5B95AE7FC604BE44A9 [0000007B]
2026-06-05T18:30:41.503,ACCESS,0000007B,CHECK_IN_T2,SUCCESS,ACCESS GRANTED: Tier 2 access granted by physical card. DailyCounter=2 TxCounter=2 ReceiptVerified=true Receipt=000200021C822E06199ECCB632AED72FE1A06CE2D7E0B40843B371ED641972E3C84DD88F929510B510302312725F08A7CBFB83BDEC13E04BC1A79555B2C86EED029DD4DB [0000007B]
2026-06-05T18:30:43.249,ACCESS,0000007B,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [0000007B]
2026-06-05T18:30:46.711,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:47.97,ACCESS,0000007B,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [0000007B]
2026-06-05T18:30:49.173,ACCESS,0000007B,CHECK_IN_T2,DENIED,ACCESS DENIED: Tier 2 step 2 failed with SW=6985 [0000007B]
2026-06-05T18:30:52.117,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:52.321,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:52.464,ACCESS,0000007B,CHECK_IN_T1,SUCCESS,ACCESS GRANTED: Tier 1 access granted by physical card [0000007B]
2026-06-05T18:30:53.125,ADMIN,0000007B,READ_STATUS,SUCCESS,Card 0000007B | BackendStatus=ACTIVE | Expiry=20261231 | Package=STANDARD | Blocked=false | Gateway=HARDWARE | CardSession=true | AppletActive=true | AccessCache=SYNCED
